"uid","name","fundCodes","workDay","return","optimal","optimalName"
"30048419","苏玉平","006015,040012,040013,040026,040040,040041",4220,114.11,"040012","华安强化收益债券A"
"30517952","苏燕青","004407,004409,159909,159991,161718,161720,161721,217017,217019,501067,501068,510150,513990",1499,186.24,"510150","招商上证消费80ETF"
"30359244","石雨欣","002363,002364,002534,002948,002949,003797,003798,003805,003806,006936,040019",2045,72.77,"002534","华安稳固收益债券A"
"30062853","邵卓","000308,000729,000756,001070,002281,008962,008963",2160,188,"001070","建信信息产业股票"
"30588106","盛泽","001196,002192,002545,005616,006785,400011",922,121.73,"002545","东方岳灵活配置混合"
"30679804","商震","003684,003685,009750,009751",551,52.8,"003684","汇安丰融混合A"
"30579495","沈竹熙","005552,005553,005822,006702,006703,010468",1001,12.85,"005552","国富新趋势混合A"
"30712250","宋钊贤","006704,006705,009051,009052,502006,502048,512090,515180",168,27.15,"512090","易方达MSCI中国A股ETF"
"30079450","陶灿","000592,001781,001858,008177,009147,530001",3512,423.1,"000592","建信改革红利股票"
"30177032","谭昌杰","000215,001115,001116,001189,007848,008127,009135,009136,009956,009957,010036,010038,010449,010450,010451,010532,010533",3138,93.83,"001115","广发聚安混合A"
"30487957","谭冬寒","000831,006002,006003,010393,010394",1632,246.89,"006002","工银医药健康股票A"
"30655186","唐丁祥","001369,002524,002659,002668,003309,003310,004242,007495,008517,009732",732,10.66,"002668","兴业聚丰灵活配置混合"
"30684688","谭飞","008884,008885",227,-6.83,"008884","博远博锐混合A"
"30687419","陶国峰","001783,001784,001960,004123,005079,007637,009207,009915",445,3.55,"001783","兴银合盈债券A"
"30040384","童国林","671030,675081,675083",1344,52.64,"671030","西部利得事件驱动股票"
"30081395","汤慧","001534,007308,009189,240002",534,87.26,"007308","华宝消费升级混合"
"30159644","汤海波","000845,005520,007110,011081,121001,161229",3269,134.93,"161229","国投瑞银中国价值发现股票"
"30408547","涂海强","002288,002535,002536,005274,006952,007318,008773,163823",1879,71.33,"002288","中银稳进策略混合"
"30197530","田汉卿","000172,001073,001244,002804,004394,005055,006104,006532,010137,010138,010234,010246,010303,010304,460009",2759,280.96,"000172","华泰柏瑞量化增强混合A"
"30693795","屠环宇","002980",334,74.09,"002980","华夏创新前沿股票"
"30587652","TIAN HUAN","002043,006877,006878,007084,350009",928,159.98,"350009","天治研究驱动混合A"
"30643306","谭荐丰","000932,000933,001103,001972,002407,005541,005542",788,109.9,"002407","前海开源恒远灵活配置混合"
"30137549","唐俊杰","001148,001201,001724,001727,005936,005990,008028,010325,011484,011485,310338,310339",2913,48.27,"001148","申万菱信多策略灵活配置混合A"
"30563211","谭珏娜","004521,004522,010237,010238",1172,64.6,"004521","安信工业4.0灵活配置混合A"
"30136918","田俊维","009308,164205,420003,420009",2087,152.09,"164205","天弘文化新兴产业"
"30178536","谈洁颖","501015,501055",2893,72.24,"501055","财通福佑定开混合发起"
"30442435","童立","000654,004423,005161,008961,630011",1775,122.07,"004423","华商研究精选灵活配置"
"30469080","唐雷","009644,009645",1439,51.31,"009644","东方阿尔法优势产业混合A"
"30527363","谭丽","001044,004355,005267,010190,010273,010274,070019,501189",1411,175.88,"001044","嘉实新消费股票"
